road_type,hour_of_day,day_of_week,weather,traffic_density,speed_limit,has_signal,num_lanes,accident_risk
residential,11,0,clear,0.43,60,1,4,0.279
residential,0,4,fog,0.3,30,0,2,0.66
residential,21,5,clear,0.99,60,0,2,0.473
main_road,11,4,rain,0.51,40,1,4,0.389
lane,4,3,fog,0.72,80,0,2,0.821
main_road,16,0,rain,0.23,60,1,4,0.49
main_road,15,3,rain,0.54,30,1,4,0.422
highway,14,6,clear,0.12,30,0,1,0.343
main_road,22,0,clear,0.55,40,1,1,0.484
highway,14,1,rain,0.97,30,0,4,0.645
highway,4,5,fog,0.45,20,0,4,0.758
main_road,20,0,rain,0.14,80,1,4,0.585
lane,13,6,rain,0.13,60,1,4,0.363
lane,1,6,rain,0.45,80,0,4,0.682
lane,10,3,clear,0.24,40,0,4,0.236
lane,18,4,clear,0.12,60,1,2,0.067
lane,6,0,rain,0.78,60,1,4,0.363
main_road,5,5,fog,0.51,20,1,2,0.602
main_road,1,0,clear,0.36,40,1,2,0.285
residential,5,2,rain,0.91,30,0,4,0.628
lane,17,4,clear,0.2,20,1,4,0.027
main_road,1,5,rain,0.96,20,0,2,0.678
residential,17,5,clear,0.38,80,0,2,0.401
lane,14,1,clear,0.9,80,1,4,0.38
highway,18,3,rain,0.64,80,0,4,0.756
residential,1,1,clear,0.84,20,1,2,0.305
main_road,19,5,rain,0.99,30,0,2,0.646
highway,5,4,rain,0.36,60,1,2,0.784
highway,0,0,fog,0.97,80,0,1,1.0
highway,23,0,clear,0.45,30,0,2,0.45
residential,14,4,clear,0.45,40,1,1,0.203
main_road,22,5,clear,0.41,80,1,4,0.499
highway,9,6,fog,0.59,60,0,4,0.769
lane,18,0,fog,0.24,40,0,2,0.49
highway,16,6,rain,0.6,40,1,4,0.492
highway,4,0,fog,0.59,60,0,4,0.845
residential,3,0,rain,0.79,80,1,4,0.706
residential,9,3,rain,0.85,20,0,4,0.565
main_road,23,3,clear,0.5,60,1,1,0.527
lane,16,2,rain,0.37,60,0,1,0.454
residential,9,1,clear,0.33,60,1,2,0.269
highway,16,4,fog,0.28,40,1,2,0.448
main_road,19,4,rain,0.15,30,0,2,0.448
highway,23,4,rain,0.41,20,1,4,0.687
highway,4,2,clear,0.34,80,0,4,0.694
residential,1,3,clear,0.97,80,1,1,0.494
main_road,5,5,clear,0.6,30,1,1,0.401
lane,20,6,clear,0.41,60,1,2,0.199
lane,1,6,clear,0.62,20,0,1,0.348
residential,12,5,fog,0.23,80,1,1,0.601
residential,10,2,rain,0.5,80,0,1,0.695
main_road,10,5,clear,0.66,60,1,1,0.331
lane,15,4,clear,0.54,30,0,1,0.211
lane,10,1,clear,0.46,20,0,2,0.121
lane,18,0,rain,0.99,30,0,2,0.492
highway,14,6,rain,0.89,30,1,1,0.605
lane,22,3,fog,0.66,20,0,2,0.606
highway,22,3,clear,0.61,20,1,4,0.433
main_road,15,2,fog,0.66,80,0,1,0.693
highway,10,3,fog,0.28,80,0,4,0.725
main_road,21,4,clear,0.46,20,0,2,0.3
lane,15,6,fog,0.14,40,0,2,0.45
lane,7,5,clear,0.53,80,1,4,0.312
main_road,3,4,fog,0.59,40,0,2,0.739
residential,7,2,clear,0.3,20,0,1,0.138
main_road,3,4,fog,0.97,80,1,4,0.89
residential,23,5,fog,0.92,30,0,1,0.694
highway,2,1,fog,0.75,20,0,4,0.795
highway,2,2,rain,0.58,60,0,2,0.993
highway,17,1,clear,0.88,40,0,4,0.39
lane,18,0,clear,0.22,20,1,4,0.087
highway,18,1,clear,0.81,20,1,1,0.261
residential,20,0,clear,0.21,80,0,2,0.384
highway,4,0,rain,0.81,80,1,1,0.957
main_road,17,1,clear,0.35,80,1,2,0.417
main_road,9,2,fog,0.89,60,0,1,0.775
lane,21,5,rain,0.95,80,1,4,0.47
main_road,20,4,fog,0.23,20,0,1,0.587
residential,5,4,clear,0.52,80,1,2,0.451
highway,0,5,fog,0.98,30,1,2,0.825
lane,4,6,fog,0.54,80,1,4,0.671
highway,8,6,clear,0.88,60,0,2,0.506
highway,11,0,rain,0.63,30,1,1,0.478
residential,13,0,rain,0.44,20,0,4,0.412
main_road,1,2,clear,0.36,20,0,2,0.517
main_road,16,3,rain,0.28,40,1,2,0.414
highway,13,1,clear,0.79,30,0,1,0.4
lane,12,0,clear,0.45,40,1,1,0.146
main_road,8,4,clear,0.56,30,0,4,0.289
lane,14,2,clear,0.54,30,0,2,0.289
main_road,21,1,clear,0.62,60,1,1,0.272
lane,14,2,clear,0.88,40,1,4,0.182
residential,23,1,fog,0.98,60,1,2,0.772
lane,10,1,rain,0.47,30,1,2,0.316
residential,15,5,fog,0.84,20,0,4,0.56
residential,16,0,clear,0.79,30,0,4,0.374
lane,3,2,clear,0.62,60,0,1,0.521
residential,0,2,rain,0.96,40,1,2,0.624
highway,7,5,clear,0.28,40,0,2,0.451
residential,16,4,clear,0.2,60,1,2,0.192
main_road,2,4,rain,0.87,40,0,4,0.751
lane,19,6,clear,0.5,80,1,1,0.274
highway,14,0,rain,0.86,20,0,2,0.587
lane,14,0,rain,0.9,20,0,4,0.405
main_road,23,3,clear,0.16,20,1,2,0.223
main_road,21,5,clear,0.9,40,0,1,0.427
main_road,13,4,rain,0.5,40,1,2,0.425
residential,22,1,clear,0.56,30,0,1,0.504
residential,13,2,clear,0.66,30,0,1,0.29
lane,23,0,fog,0.93,20,1,2,0.542
lane,1,2,clear,0.12,80,1,2,0.412
highway,12,2,rain,0.53,30,0,1,0.589
highway,13,3,fog,0.72,30,0,4,0.645
lane,23,4,clear,0.75,40,0,1,0.412
residential,18,0,clear,0.72,80,0,2,0.604
main_road,6,2,clear,0.22,20,0,2,0.26
lane,2,0,clear,0.37,30,0,4,0.393
highway,14,1,clear,0.42,80,1,1,0.372
residential,22,3,rain,0.82,80,1,1,0.7
lane,13,1,clear,0.35,20,1,1,0.149
lane,10,0,rain,0.29,80,0,2,0.599
residential,14,6,fog,0.96,80,0,1,0.762
lane,12,0,fog,0.11,80,0,4,0.551
residential,17,4,rain,1.0,30,1,2,0.434
main_road,5,2,clear,0.71,20,1,2,0.342
residential,2,2,rain,0.85,80,0,1,0.781
residential,18,1,rain,0.37,80,0,4,0.642
residential,14,3,clear,0.11,30,1,2,0.132
lane,22,6,clear,0.76,20,1,2,0.306
lane,4,5,fog,0.85,40,1,1,0.589
residential,9,2,clear,0.77,30,0,1,0.319
lane,6,4,clear,0.23,20,0,4,0.13
highway,16,1,clear,0.78,80,0,1,0.538
highway,6,1,clear,0.79,20,1,4,0.348
lane,21,5,fog,0.69,20,1,2,0.371
lane,11,4,rain,0.79,20,0,4,0.451
residential,16,3,rain,0.86,40,0,4,0.587
main_road,12,4,clear,0.65,20,1,4,0.215
lane,19,3,clear,0.18,40,0,2,0.212
highway,3,4,clear,0.54,80,1,1,0.538
residential,9,4,clear,0.17,40,1,2,0.115
lane,2,0,clear,0.47,80,0,1,0.483
highway,8,1,rain,0.47,80,1,4,0.645
highway,12,4,clear,0.16,40,0,4,0.352
main_road,17,5,rain,0.41,30,1,4,0.369
residential,14,4,clear,0.2,60,1,4,0.241
residential,3,2,clear,0.83,20,0,4,0.459
main_road,14,1,clear,0.95,60,1,1,0.352
main_road,21,2,fog,0.17,20,0,1,0.487
residential,1,1,fog,0.96,20,0,4,0.728
residential,14,2,fog,0.57,80,1,2,0.551
lane,7,4,clear,0.37,20,0,2,0.191
lane,7,4,clear,0.17,20,0,4,0.15
main_road,16,0,rain,0.55,40,0,1,0.518
lane,11,5,clear,0.82,60,0,2,0.369
highway,18,2,fog,0.74,40,0,2,0.701
lane,9,3,clear,0.15,20,0,2,0.11
lane,8,0,clear,0.17,80,1,4,0.204
highway,4,2,clear,0.46,40,0,2,0.504
main_road,5,2,clear,0.37,40,1,2,0.363
highway,19,0,rain,0.31,30,1,2,0.44
lane,1,4,clear,0.35,20,0,2,0.293
main_road,23,2,clear,0.82,80,1,1,0.514
lane,12,4,clear,0.94,40,1,4,0.188
highway,5,0,clear,0.46,40,0,4,0.527
highway,4,4,rain,0.92,80,0,1,1.0
lane,0,1,fog,0.39,20,0,1,0.595
residential,20,3,fog,0.53,30,1,4,0.457
residential,21,6,rain,0.3,40,1,2,0.34
highway,20,2,clear,0.68,30,0,2,0.401
highway,5,5,rain,0.98,60,0,4,0.938
residential,5,3,clear,0.64,20,1,2,0.326
residential,22,6,clear,0.42,60,1,1,0.425
lane,15,4,fog,0.68,60,1,2,0.475
lane,3,2,clear,0.21,60,1,2,0.331
residential,10,4,fog,0.9,20,0,2,0.487
lane,23,1,clear,0.55,20,1,4,0.213
lane,22,0,rain,0.5,80,1,1,0.656
main_road,8,2,rain,0.63,30,1,2,0.459
lane,22,6,fog,0.66,30,1,4,0.526
highway,2,6,rain,0.16,80,0,2,1.0
lane,18,1,rain,0.71,80,0,1,0.612
lane,7,1,clear,0.32,60,1,2,0.165
residential,4,2,rain,0.74,80,1,1,0.704
highway,3,4,clear,0.84,40,0,2,0.583
lane,23,5,rain,0.82,30,0,1,0.569
lane,5,6,rain,0.6,80,1,2,0.69
main_road,1,6,rain,0.57,40,1,1,0.588
lane,19,1,clear,0.23,40,0,2,0.176
lane,10,3,clear,0.8,40,0,2,0.234
main_road,3,1,rain,0.34,40,0,4,0.571
residential,14,5,clear,0.55,60,0,4,0.398
lane,5,4,clear,0.36,40,0,1,0.411
main_road,21,4,clear,0.22,60,0,2,0.418
highway,16,3,fog,0.67,60,1,1,0.632
residential,23,6,rain,0.15,40,0,4,0.585
highway,5,1,clear,0.77,30,0,1,0.539
highway,18,4,clear,0.39,40,0,1,0.367
main_road,1,5,clear,0.1,40,0,4,0.485
lane,14,2,rain,0.56,40,1,2,0.358
main_road,10,0,rain,0.14,30,1,1,0.38
main_road,7,0,clear,0.35,20,0,4,0.247
main_road,18,0,clear,0.74,20,1,2,0.276
main_road,12,6,clear,0.16,60,1,4,0.185
residential,11,1,rain,0.86,60,1,1,0.468
lane,4,3,rain,0.1,30,1,2,0.424
highway,5,4,clear,0.32,80,1,2,0.618
highway,21,2,clear,0.77,20,1,4,0.269
lane,3,5,clear,0.38,60,0,4,0.411
highway,18,2,fog,0.19,20,0,4,0.581
lane,19,5,clear,0.42,30,0,2,0.22
highway,0,6,rain,0.34,30,0,2,0.896
main_road,19,1,rain,0.86,80,0,1,0.677
highway,16,0,clear,0.38,80,1,2,0.455
lane,11,1,clear,0.81,30,0,1,0.203
lane,14,6,clear,0.9,60,0,4,0.361
lane,0,3,rain,0.49,20,1,4,0.453
lane,13,3,rain,0.92,40,1,2,0.42
lane,5,6,rain,0.44,80,0,4,0.758
residential,4,5,rain,0.97,40,1,4,0.547
residential,10,4,clear,0.18,60,1,2,0.22
highway,3,4,fog,0.72,80,1,1,0.906
lane,12,5,rain,0.54,40,1,2,0.358
highway,10,3,clear,0.45,60,0,1,0.409
lane,2,3,fog,0.67,20,1,2,0.553
lane,0,3,rain,0.73,60,0,2,0.671
residential,5,1,rain,0.1,80,0,4,0.682
residential,17,3,rain,0.25,30,1,2,0.293
main_road,23,2,fog,0.74,20,1,2,0.616
residential,9,0,rain,0.7,40,1,1,0.437
main_road,4,3,clear,0.97,80,0,4,0.645
main_road,22,5,clear,0.78,30,1,1,0.368
main_road,9,0,fog,0.96,60,1,1,0.604
main_road,11,1,clear,0.73,30,1,4,0.215
main_road,1,5,clear,0.37,80,1,4,0.507
highway,12,0,clear,0.19,80,1,4,0.393
residential,7,5,clear,0.8,30,0,2,0.323
main_road,1,1,rain,0.68,60,1,4,0.699
lane,19,2,fog,0.14,30,1,4,0.382
residential,0,1,clear,0.42,80,1,4,0.48
residential,4,1,clear,0.96,80,0,1,0.675
main_road,8,5,clear,0.55,40,1,1,0.241
highway,16,6,fog,0.49,40,0,2,0.686
main_road,8,4,rain,0.51,20,0,1,0.471
highway,10,3,clear,0.29,80,1,2,0.41
lane,14,3,fog,0.43,40,1,1,0.335
residential,23,2,fog,0.43,30,1,4,0.565
lane,5,2,fog,0.15,60,0,1,0.621
highway,22,3,fog,0.79,30,0,2,0.85
highway,2,4,clear,0.47,60,0,1,0.643
lane,16,3,rain,0.84,40,0,4,0.482
highway,4,6,clear,0.87,20,0,2,0.625
lane,11,4,fog,0.29,30,0,4,0.426
residential,17,2,rain,0.69,30,1,4,0.333
lane,13,0,rain,0.53,30,1,2,0.292
residential,20,5,rain,0.89,60,0,4,0.579
lane,23,6,clear,0.29,40,1,4,0.284
highway,10,6,rain,0.71,30,1,1,0.451
lane,8,2,fog,0.65,30,0,4,0.47
highway,1,2,fog,0.37,20,0,4,0.731
lane,11,1,clear,0.22,20,1,4,0.051
lane,2,6,clear,0.69,40,0,4,0.428
main_road,2,1,clear,0.76,40,0,2,0.544
highway,0,1,rain,0.38,80,1,1,0.892
main_road,7,5,fog,0.68,20,0,4,0.5
highway,21,1,clear,0.46,80,1,4,0.403
main_road,7,4,rain,0.74,60,1,2,0.567
residential,10,3,fog,0.28,80,1,4,0.537
lane,8,0,rain,0.9,30,1,2,0.394
highway,4,2,rain,0.36,80,1,1,0.881
highway,13,4,rain,0.43,40,0,1,0.629
lane,2,0,rain,0.15,60,0,4,0.508
highway,20,6,clear,0.2,30,0,4,0.329
highway,4,6,rain,0.56,80,0,4,1.0
main_road,4,6,rain,0.34,60,1,2,0.698
highway,18,4,fog,0.85,60,1,4,0.656
residential,13,4,rain,0.11,30,0,4,0.357
residential,3,2,rain,0.44,80,1,1,0.721
lane,12,3,clear,0.4,60,0,4,0.295
highway,9,1,clear,0.12,60,0,1,0.399
lane,17,6,clear,0.21,20,0,4,0.108
residential,7,5,clear,0.47,60,1,1,0.208
highway,7,3,rain,0.54,20,1,4,0.466
highway,6,5,fog,0.46,80,1,1,0.696
lane,7,2,clear,0.58,80,1,2,0.295
residential,13,2,clear,0.64,80,0,1,0.415
highway,18,2,fog,0.11,40,1,1,0.449
lane,5,0,clear,0.52,80,1,1,0.371
residential,0,5,rain,0.97,60,1,4,0.661
lane,22,3,rain,0.57,30,0,4,0.539
main_road,14,3,rain,0.71,20,0,4,0.451
highway,0,4,clear,0.38,40,1,2,0.458
main_road,16,4,clear,0.8,80,1,2,0.367
residential,0,6,rain,0.8,80,1,1,0.759
main_road,14,4,rain,0.57,30,1,2,0.445
main_road,22,2,clear,0.98,30,0,1,0.553
residential,1,3,rain,0.21,40,1,1,0.573
lane,13,5,clear,0.12,20,1,1,0.0
main_road,20,2,rain,0.79,80,1,2,0.653
lane,7,0,clear,0.83,40,0,4,0.288
main_road,7,4,fog,0.21,60,0,2,0.722
lane,18,2,clear,0.34,60,1,1,0.173
residential,6,2,clear,0.12,40,1,1,0.121
main_road,18,0,clear,0.36,80,1,2,0.371
residential,5,1,clear,0.8,40,1,1,0.387
main_road,5,3,fog,0.57,80,1,1,0.755
residential,2,5,fog,0.41,30,0,2,0.616
residential,6,6,clear,0.43,40,0,2,0.348
main_road,18,1,clear,0.1,80,0,2,0.368
main_road,7,4,rain,0.37,40,1,1,0.439
main_road,9,2,fog,0.68,40,0,1,0.669
highway,19,0,rain,0.98,80,0,4,0.841
lane,14,0,clear,0.86,80,0,4,0.405
highway,14,3,clear,0.12,20,1,2,0.172
highway,0,1,rain,0.91,40,1,4,0.845
residential,19,6,clear,0.8,60,0,1,0.346
main_road,6,3,rain,0.8,40,1,4,0.517
lane,3,2,clear,0.51,40,0,1,0.403
residential,5,3,rain,0.46,80,0,2,0.827
highway,0,5,clear,0.37,40,0,2,0.498
main_road,4,0,rain,0.16,40,0,1,0.693
residential,22,0,clear,0.31,60,1,4,0.43
main_road,0,4,rain,0.32,80,1,2,0.7
residential,3,4,clear,0.54,40,1,2,0.269
main_road,21,6,rain,0.77,30,1,4,0.439
highway,1,2,rain,0.53,20,0,4,0.913
lane,9,5,rain,0.15,60,1,1,0.372
highway,4,1,rain,0.96,40,0,4,0.997
lane,9,3,rain,0.95,30,1,4,0.383
main_road,0,6,fog,0.81,40,1,4,0.688
residential,21,2,clear,0.99,40,1,1,0.199
highway,5,4,fog,0.59,80,0,1,0.97
lane,12,3,clear,0.97,80,0,2,0.489
highway,14,4,clear,0.17,80,0,1,0.437
lane,3,3,clear,0.43,30,0,2,0.351
highway,12,1,clear,0.3,40,1,4,0.257
lane,23,2,rain,0.28,20,0,2,0.521
lane,19,3,rain,0.23,60,0,2,0.45
main_road,23,5,rain,0.66,80,1,4,0.786
lane,14,6,rain,0.8,80,1,2,0.523
main_road,7,0,clear,0.62,40,0,1,0.266
lane,4,5,clear,0.23,40,1,1,0.277
residential,14,5,clear,0.83,30,0,1,0.358
residential,3,6,clear,0.67,30,1,1,0.298
residential,11,0,clear,0.45,80,0,2,0.434
lane,12,5,clear,0.71,40,0,2,0.355
main_road,1,3,rain,0.33,20,0,4,0.616
main_road,18,3,rain,0.41,60,0,2,0.645
lane,18,3,fog,0.93,40,0,2,0.547
residential,3,0,fog,0.36,40,1,2,0.578
residential,3,5,rain,0.52,30,0,4,0.614
main_road,10,0,clear,0.9,60,0,1,0.457
residential,4,3,rain,0.74,80,0,2,0.805
highway,19,6,rain,0.16,40,0,4,0.484
